"","SRR23426222","SRR23426221","SRR23426220","SRR23426219","SRR23426218","SRR23426217","SRR23426216","SRR23426214","SRR23426213","SRR23426212","SRR23426215","SRR23426211","SRR23426210","SRR23426209","SRR23426208"
"CAETHG_RS11995",26.5819440009682,33.3466331305476,22.5436398618701,48.8301350454651,57.5646846022658,62.649641070932,29.8898864853229,30.7574701833297,27.8697560307054,38.1937675456304,34.9831011821964,53.2306503100518,44.6177571964505,39.1537483940512,36.3096230978011
"CAETHG_RS12000",24.3667820008875,21.304793388961,22.5436398618701,78.296595848763,72.6636182684339,69.2443401310301,37.0634592418004,23.6595924487152,26.7085161960927,21.2187597475725,28.1808315078804,32.8444438083298,34.6172254110392,25.0148948073105,31.2666198897731
"CAETHG_RS12105",107.435357003913,59.2829033431958,78.2396912853138,122.917236493757,213.744279711692,110.461209256643,88.4740639965559,98.1873086621679,113.801503792047,82.0458710239468,124.38435975892,129.112641177572,103.851676233117,85.9207256425014,101.868664802164
"CAETHG_RS13785",1496.3419310545,2299.06509527831,1481.24974857111,1068.36967883957,565.738170804235,1190.34318034771,1837.63022111765,816.255939480673,2049.58830809146,2697.61165590805,2114.53411590165,1019.3103250861,918.510380906239,1222.46703319204,2109.99254223888
"CAETHG_RS13790",4.43032400016136,1.85259072947487,0,3.3675955203769,0,1.64867476502453,1.19559545941292,2.36595924487152,0,1.4145839831715,0.971752810616566,0,2.30781502740261,0,2.01720128321117
"CAETHG_RS13795",169.459893006172,73.1773338142573,165.762057807868,117.865843213192,54.7336345398593,79.1363887211772,136.297882373073,167.983106385878,142.832499657365,106.093798737862,102.034045114739,112.124135759471,146.161618402165,95.7091627410142,156.333099448866
"CAETHG_RS13800",27126.873852988,109037.932564702,80887.9059208523,9013.36941028878,19253.0277910726,20230.888041616,9130.76252353645,52004.9671818984,19515.7966605015,51647.8758095745,53805.9531238393,21448.5543738672,15893.9220937218,24647.2846140553,28880.2707717343
"CAETHG_RS13825",11.0758100004034,1.85259072947487,0,2.52569664028268,3.30289173947427,2.47301214753679,4.78238183765167,7.09787773461455,0,2.82916796634299,5.8305168636994,2.26513405574688,6.92344508220783,2.17520824411396,4.03440256642234
"CAETHG_RS13830",11.0758100004034,12.0418397415866,7.95657877477767,164.170281618374,108.051744048515,83.2580756337386,26.3031001070842,22.4766128262794,24.3860365268672,12.7312558485435,37.8983596140461,27.1816086689626,23.847421949827,11.9636453426268,23.1978147569285
"CAETHG_RS13930",139.555206005083,236.205318008046,156.479382570628,175.114967059599,177.884312254543,129.420969054425,184.121700749589,134.859676957676,234.57044659177,179.65216586278,224.474899252427,108.72643467585,208.472624142036,293.653112955384,140.195489183176
